date,time,away_team,home_team,away_odds,home_odds,away_score,home_score
28 Sep 2025,,Texas Rangers,Cleveland Guardians,+120,-141,8,9
28 Sep 2025,,Arizona Diamondbacks,San Diego Padres,+120,-137,4,12
28 Sep 2025,,Cincinnati Reds,Milwaukee Brewers,+114,-135,2,4
28 Sep 2025,,Los Angeles Dodgers,Seattle Mariners,-135,+120,6,1
28 Sep 2025,,New York Mets,Miami Marlins,-139,+120,0,4
28 Sep 2025,,Houston Astros,Los Angeles Angels,-120,+100,6,2
28 Sep 2025,,Tampa Bay Rays,Toronto Blue Jays,+179,-222,4,13
28 Sep 2025,,Kansas City Royals,Athletics,-149,+125,9,2
28 Sep 2025,,Baltimore Orioles,New York Yankees,+150,-175,2,3
28 Sep 2025,,Detroit Tigers,Boston Red Sox,-110,-110,3,4
28 Sep 2025,,Chicago White Sox,Washington Nationals,-102,-115,8,0
28 Sep 2025,,Colorado Rockies,San Francisco Giants,+250,-294,0,4
28 Sep 2025,,Minnesota Twins,Philadelphia Phillies,+200,-244,1,2
27 Sep 2025,,Kansas City Royals,Athletics,+104,-120,4,2
27 Sep 2025,,Los Angeles Dodgers,Seattle Mariners,+114,-135,5,3
27 Sep 2025,,Houston Astros,Los Angeles Angels,-141,+125,6,1
27 Sep 2025,,Arizona Diamondbacks,San Diego Padres,+135,-159,1,5
27 Sep 2025,,Pittsburgh Pirates,Atlanta Braves,+150,-175,3,1
27 Sep 2025,,Cincinnati Reds,Milwaukee Brewers,+104,-125,7,4
27 Sep 2025,,Texas Rangers,Cleveland Guardians,+135,-149,2,3
27 Sep 2025,,Minnesota Twins,Philadelphia Phillies,+200,-222,5,0
27 Sep 2025,,Chicago White Sox,Washington Nationals,-105,-110,5,6
27 Sep 2025,,Detroit Tigers,Boston Red Sox,+100,-120,2,1
27 Sep 2025,,New York Mets,Miami Marlins,-141,+120,5,0
27 Sep 2025,,Colorado Rockies,San Francisco Giants,+200,-238,3,4
27 Sep 2025,,Tampa Bay Rays,Toronto Blue Jays,+145,-167,1,5
27 Sep 2025,,St.Louis Cardinals,Chicago Cubs,+150,-179,3,7
27 Sep 2025,,Baltimore Orioles,New York Yankees,+195,-227,1,6
26 Sep 2025,,Colorado Rockies,San Francisco Giants,+200,-244,3,6
26 Sep 2025,,Kansas City Royals,Athletics,-125,+104,3,4
26 Sep 2025,,Arizona Diamondbacks,San Diego Padres,+114,-130,4,7
26 Sep 2025,,Los Angeles Dodgers,Seattle Mariners,+125,-149,3,2
26 Sep 2025,,Houston Astros,Los Angeles Angels,-130,+114,3,4
26 Sep 2025,,Cincinnati Reds,Milwaukee Brewers,+135,-159,3,1
26 Sep 2025,,Pittsburgh Pirates,Atlanta Braves,+135,-159,9,3
26 Sep 2025,,Detroit Tigers,Boston Red Sox,+100,-120,3,4
26 Sep 2025,,Texas Rangers,Cleveland Guardians,+135,-154,7,3
26 Sep 2025,,New York Mets,Miami Marlins,-135,+120,2,6
26 Sep 2025,,Tampa Bay Rays,Toronto Blue Jays,+160,-182,2,4
26 Sep 2025,,Baltimore Orioles,New York Yankees,+125,-141,4,8
26 Sep 2025,,Chicago White Sox,Washington Nationals,+110,-130,10,9
26 Sep 2025,,Minnesota Twins,Philadelphia Phillies,+129,-141,1,3
26 Sep 2025,,St.Louis Cardinals,Chicago Cubs,+160,-182,1,12
25 Sep 2025,,Colorado Rockies,Seattle Mariners,+250,-303,2,6
25 Sep 2025,,Kansas City Royals,Los Angeles Angels,-135,+114,9,4
25 Sep 2025,,New York Mets,Chicago Cubs,-115,-105,8,5
25 Sep 2025,,Boston Red Sox,Toronto Blue Jays,+118,-135,1,6
25 Sep 2025,,Chicago White Sox,New York Yankees,+260,-294,3,5
25 Sep 2025,,Detroit Tigers,Cleveland Guardians,+140,-159,4,2
25 Sep 2025,,Miami Marlins,Philadelphia Phillies,+140,-159,0,1
25 Sep 2025,,Los Angeles Dodgers,Arizona Diamondbacks,-159,+140,8,0
25 Sep 2025,,Houston Astros,Athletics,-115,-105,11,5
25 Sep 2025,,Minnesota Twins,Texas Rangers,+125,-149,4,0
25 Sep 2025,,Tampa Bay Rays,Baltimore Orioles,-115,-105,5,6
25 Sep 2025,,Pittsburgh Pirates,Cincinnati Reds,+150,-169,1,2
24 Sep 2025,,Houston Astros,Athletics,-135,+114,0,6
24 Sep 2025,,St.Louis Cardinals,San Francisco Giants,-115,-105,3,4
24 Sep 2025,,Los Angeles Dodgers,Arizona Diamondbacks,-149,+125,5,4
24 Sep 2025,,Colorado Rockies,Seattle Mariners,+245,-303,2,9
24 Sep 2025,,Kansas City Royals,Los Angeles Angels,-110,-105,2,3
24 Sep 2025,,New York Mets,Chicago Cubs,-102,-115,3,10
24 Sep 2025,,Minnesota Twins,Texas Rangers,+154,-179,2,4
24 Sep 2025,,Boston Red Sox,Toronto Blue Jays,-125,+110,7,1
24 Sep 2025,,Chicago White Sox,New York Yankees,+300,-385,1,8
24 Sep 2025,,Miami Marlins,Philadelphia Phillies,+140,-164,1,11
24 Sep 2025,,Pittsburgh Pirates,Cincinnati Reds,+110,-125,4,3
24 Sep 2025,,Detroit Tigers,Cleveland Guardians,+125,-135,1,5
24 Sep 2025,,Tampa Bay Rays,Baltimore Orioles,+104,-120,6,2
24 Sep 2025,,Milwaukee Brewers,San Diego Padres,+125,-143,3,1
24 Sep 2025,,Washington Nationals,Atlanta Braves,+160,-189,4,3
23 Sep 2025,,Houston Astros,Athletics,-105,-110,1,5
23 Sep 2025,,St.Louis Cardinals,San Francisco Giants,+165,-200,9,8
23 Sep 2025,,Los Angeles Dodgers,Arizona Diamondbacks,-164,+140,4,5
23 Sep 2025,,Colorado Rockies,Seattle Mariners,+245,-303,3,4
23 Sep 2025,,Milwaukee Brewers,San Diego Padres,-130,+110,0,7
23 Sep 2025,,Kansas City Royals,Los Angeles Angels,-164,+140,8,4
23 Sep 2025,,Minnesota Twins,Texas Rangers,+120,-141,4,1
23 Sep 2025,,New York Mets,Chicago Cubs,-110,-110,9,7
23 Sep 2025,,Washington Nationals,Atlanta Braves,+170,-200,2,3
23 Sep 2025,,Boston Red Sox,Toronto Blue Jays,+135,-159,4,1
23 Sep 2025,,Chicago White Sox,New York Yankees,+200,-238,2,3
23 Sep 2025,,Miami Marlins,Philadelphia Phillies,+179,-208,6,5
23 Sep 2025,,Pittsburgh Pirates,Cincinnati Reds,+150,-179,4,2
23 Sep 2025,,Detroit Tigers,Cleveland Guardians,-159,+135,2,5
23 Sep 2025,,Tampa Bay Rays,Baltimore Orioles,-110,-110,0,6
22 Sep 2025,,St.Louis Cardinals,San Francisco Giants,+129,-149,6,5
22 Sep 2025,,Milwaukee Brewers,San Diego Padres,-110,-105,4,5
22 Sep 2025,,Washington Nationals,Atlanta Braves,+229,-278,5,11
21 Sep 2025,,Boston Red Sox,Tampa Bay Rays,-130,+110,3,7
21 Sep 2025,,Seattle Mariners,Houston Astros,-149,+125,7,3
21 Sep 2025,,Philadelphia Phillies,Arizona Diamondbacks,-130,+110,2,9
21 Sep 2025,,San Francisco Giants,Los Angeles Dodgers,+179,-213,3,1
21 Sep 2025,,Los Angeles Angels,Colorado Rockies,-105,-110,1,3
21 Sep 2025,,Miami Marlins,Texas Rangers,+104,-125,4,2
21 Sep 2025,,Milwaukee Brewers,St.Louis Cardinals,-130,+114,1,5
21 Sep 2025,,San Diego Padres,Chicago White Sox,-179,+154,3,2
21 Sep 2025,,Cleveland Guardians,Minnesota Twins,-141,+120,2,6
21 Sep 2025,,Toronto Blue Jays,Kansas City Royals,-125,+104,8,5
21 Sep 2025,,Atlanta Braves,Detroit Tigers,+100,-115,6,2
21 Sep 2025,,Chicago Cubs,Cincinnati Reds,+104,-110,0,1
21 Sep 2025,,Washington Nationals,New York Mets,+229,-278,3,2
21 Sep 2025,,Athletics,Pittsburgh Pirates,+104,-120,0,11
21 Sep 2025,,New York Yankees,Baltimore Orioles,-130,+114,7,1
20 Sep 2025,,San Francisco Giants,Los Angeles Dodgers,+200,-238,5,7
20 Sep 2025,,Philadelphia Phillies,Arizona Diamondbacks,-105,-115,3,4
20 Sep 2025,,Los Angeles Angels,Colorado Rockies,-125,+104,3,0
20 Sep 2025,,Milwaukee Brewers,St.Louis Cardinals,-141,+120,3,2
20 Sep 2025,,San Diego Padres,Chicago White Sox,-185,+154,7,3
20 Sep 2025,,Cleveland Guardians,Minnesota Twins,-115,-105,8,0
20 Sep 2025,,Seattle Mariners,Houston Astros,-105,-110,6,4
20 Sep 2025,,Toronto Blue Jays,Kansas City Royals,-130,+114,1,2
20 Sep 2025,,New York Yankees,Baltimore Orioles,-200,+165,6,1
20 Sep 2025,,Boston Red Sox,Tampa Bay Rays,-110,-110,6,3
20 Sep 2025,,Miami Marlins,Texas Rangers,+125,-149,4,3
20 Sep 2025,,Athletics,Pittsburgh Pirates,-115,-105,0,2
20 Sep 2025,,Chicago Cubs,Cincinnati Reds,-105,-115,3,6
20 Sep 2025,,Washington Nationals,New York Mets,+245,-278,5,3
20 Sep 2025,,Cleveland Guardians,Minnesota Twins,+104,-120,6,0
20 Sep 2025,,Atlanta Braves,Detroit Tigers,+104,-120,6,5
19 Sep 2025,,San Francisco Giants,Los Angeles Dodgers,+165,-182,3,6
19 Sep 2025,,Philadelphia Phillies,Arizona Diamondbacks,+110,-125,8,2
19 Sep 2025,,Milwaukee Brewers,St.Louis Cardinals,-125,+104,1,7
19 Sep 2025,,Cleveland Guardians,Minnesota Twins,-105,-105,6,2
19 Sep 2025,,Los Angeles Angels,Colorado Rockies,-125,+104,6,7
19 Sep 2025,,Seattle Mariners,Houston Astros,-110,-110,4,0
19 Sep 2025,,Miami Marlins,Texas Rangers,+125,-149,6,4
19 Sep 2025,,San Diego Padres,Chicago White Sox,-189,+160,3,4
19 Sep 2025,,Toronto Blue Jays,Kansas City Royals,-139,+120,1,20
19 Sep 2025,,Boston Red Sox,Tampa Bay Rays,-135,+114,11,7
19 Sep 2025,,Washington Nationals,New York Mets,+190,-222,6,12
19 Sep 2025,,New York Yankees,Baltimore Orioles,-115,+100,2,4
19 Sep 2025,,Athletics,Pittsburgh Pirates,-110,-105,4,3
19 Sep 2025,,Atlanta Braves,Detroit Tigers,+100,-110,10,1
19 Sep 2025,,Chicago Cubs,Cincinnati Reds,-110,-105,4,7
18 Sep 2025,,San Francisco Giants,Los Angeles Dodgers,+145,-169,1,2
18 Sep 2025,,Los Angeles Angels,Milwaukee Brewers,+210,-250,2,5
18 Sep 2025,,New York Yankees,Baltimore Orioles,-200,+175,7,0
18 Sep 2025,,Chicago Cubs,Cincinnati Reds,+125,-141,0,1
18 Sep 2025,,Miami Marlins,Colorado Rockies,-169,+145,9,7
18 Sep 2025,,Seattle Mariners,Kansas City Royals,-120,+104,2,0
18 Sep 2025,,Athletics,Boston Red Sox,+129,-143,5,3
18 Sep 2025,,Cleveland Guardians,Detroit Tigers,+200,-227,3,1
18 Sep 2025,,San Diego Padres,New York Mets,+120,-139,1,6
18 Sep 2025,,Toronto Blue Jays,Tampa Bay Rays,-125,+110,0,4
17 Sep 2025,,Philadelphia Phillies,Los Angeles Dodgers,+125,-149,0,5
17 Sep 2025,,Miami Marlins,Colorado Rockies,-154,+135,8,4
17 Sep 2025,,Texas Rangers,Houston Astros,-149,+125,2,5
17 Sep 2025,,Seattle Mariners,Kansas City Royals,+104,-125,5,7
17 Sep 2025,,Los Angeles Angels,Milwaukee Brewers,+210,-250,2,9
17 Sep 2025,,New York Yankees,Minnesota Twins,-154,+135,10,5
17 Sep 2025,,San Diego Padres,New York Mets,+110,-130,7,4
17 Sep 2025,,Toronto Blue Jays,Tampa Bay Rays,-130,+110,1,2
17 Sep 2025,,Athletics,Boston Red Sox,+145,-169,4,5
17 Sep 2025,,Cleveland Guardians,Detroit Tigers,+125,-149,4,0
17 Sep 2025,,Atlanta Braves,Washington Nationals,-149,+125,9,4
17 Sep 2025,,San Francisco Giants,Arizona Diamondbacks,-105,-110,5,1
17 Sep 2025,,Baltimore Orioles,Chicago White Sox,-125,+110,3,1
17 Sep 2025,,Cincinnati Reds,St.Louis Cardinals,-120,+100,6,2
17 Sep 2025,,Chicago Cubs,Pittsburgh Pirates,-139,+120,8,4
16 Sep 2025,,Philadelphia Phillies,Los Angeles Dodgers,+110,-130,9,6
16 Sep 2025,,San Francisco Giants,Arizona Diamondbacks,+104,-125,5,6
16 Sep 2025,,Miami Marlins,Colorado Rockies,-149,+125,6,5
16 Sep 2025,,Texas Rangers,Houston Astros,-115,-105,5,6
16 Sep 2025,,Cincinnati Reds,St.Louis Cardinals,-125,+104,0,3
16 Sep 2025,,Baltimore Orioles,Chicago White Sox,-110,-110,8,7
16 Sep 2025,,Seattle Mariners,Kansas City Royals,-143,+120,12,5
16 Sep 2025,,Los Angeles Angels,Milwaukee Brewers,+220,-278,2,9
16 Sep 2025,,New York Yankees,Minnesota Twins,-167,+140,10,9
16 Sep 2025,,Toronto Blue Jays,Tampa Bay Rays,-115,-105,6,5
16 Sep 2025,,San Diego Padres,New York Mets,+100,-120,3,8
16 Sep 2025,,Athletics,Boston Red Sox,+135,-161,2,1
16 Sep 2025,,Atlanta Braves,Washington Nationals,-182,+150,5,0
16 Sep 2025,,Chicago Cubs,Pittsburgh Pirates,+110,-130,4,1
16 Sep 2025,,Cleveland Guardians,Detroit Tigers,+120,-143,7,5
16 Sep 2025,,Atlanta Braves,Washington Nationals,-149,+125,6,3
15 Sep 2025,,Philadelphia Phillies,Los Angeles Dodgers,+100,-120,6,5
15 Sep 2025,,San Francisco Giants,Arizona Diamondbacks,+110,-130,1,8
15 Sep 2025,,Texas Rangers,Houston Astros,+110,-130,3,6
15 Sep 2025,,Cincinnati Reds,St.Louis Cardinals,-105,-115,11,6
15 Sep 2025,,Baltimore Orioles,Chicago White Sox,-143,+120,4,1
15 Sep 2025,,New York Yankees,Minnesota Twins,-208,+170,0,7
15 Sep 2025,,Toronto Blue Jays,Tampa Bay Rays,-130,+110,2,1
15 Sep 2025,,Atlanta Braves,Washington Nationals,-175,+145,11,3
15 Sep 2025,,Chicago Cubs,Pittsburgh Pirates,-125,+104,4,0
14 Sep 2025,,New York Yankees,Boston Red Sox,+125,-149,4,6
14 Sep 2025,,Colorado Rockies,San Diego Padres,+260,-323,6,9
14 Sep 2025,,Los Angeles Angels,Seattle Mariners,+200,-250,2,11
14 Sep 2025,,Cincinnati Reds,Athletics,-115,-105,4,7
14 Sep 2025,,Los Angeles Dodgers,San Francisco Giants,-137,+114,10,2
14 Sep 2025,,Tampa Bay Rays,Chicago Cubs,+140,-169,3,4
14 Sep 2025,,Arizona Diamondbacks,Minnesota Twins,+100,-120,6,4
14 Sep 2025,,St.Louis Cardinals,Milwaukee Brewers,+170,-208,3,2
14 Sep 2025,,Chicago White Sox,Cleveland Guardians,+140,-169,2,3
14 Sep 2025,,Detroit Tigers,Miami Marlins,-137,+114,2,0
14 Sep 2025,,Texas Rangers,New York Mets,+150,-179,2,5
14 Sep 2025,,Baltimore Orioles,Toronto Blue Jays,+170,-208,2,11
14 Sep 2025,,Houston Astros,Atlanta Braves,-135,+114,3,8
14 Sep 2025,,Kansas City Royals,Philadelphia Phillies,+125,-149,10,3
14 Sep 2025,,Pittsburgh Pirates,Washington Nationals,-120,+100,3,4
13 Sep 2025,,Cincinnati Reds,Athletics,-115,-105,5,11
13 Sep 2025,,Los Angeles Angels,Seattle Mariners,+195,-238,3,5
13 Sep 2025,,Los Angeles Dodgers,San Francisco Giants,-105,-115,13,7
13 Sep 2025,,Colorado Rockies,San Diego Padres,+300,-385,3,11
13 Sep 2025,,St.Louis Cardinals,Milwaukee Brewers,+150,-182,8,9
13 Sep 2025,,Houston Astros,Atlanta Braves,-135,+114,6,2
13 Sep 2025,,Arizona Diamondbacks,Minnesota Twins,+114,-135,5,2
13 Sep 2025,,Chicago White Sox,Cleveland Guardians,+140,-167,1,3
13 Sep 2025,,Kansas City Royals,Philadelphia Phillies,+120,-141,6,8
13 Sep 2025,,New York Yankees,Boston Red Sox,-154,+129,5,3
13 Sep 2025,,Detroit Tigers,Miami Marlins,-130,+110,4,6
13 Sep 2025,,Texas Rangers,New York Mets,+135,-161,3,2
13 Sep 2025,,Pittsburgh Pirates,Washington Nationals,-110,-110,5,1
13 Sep 2025,,Baltimore Orioles,Toronto Blue Jays,+145,-175,4,5
13 Sep 2025,,Tampa Bay Rays,Chicago Cubs,-110,-110,5,4
12 Sep 2025,,Los Angeles Dodgers,San Francisco Giants,-149,+125,1,5
12 Sep 2025,,Los Angeles Angels,Seattle Mariners,+154,-189,1,2
12 Sep 2025,,Cincinnati Reds,Athletics,-102,-118,0,3
12 Sep 2025,,Colorado Rockies,San Diego Padres,+225,-278,4,2
12 Sep 2025,,Arizona Diamondbacks,Minnesota Twins,+120,-143,8,9
12 Sep 2025,,St.Louis Cardinals,Milwaukee Brewers,+150,-182,2,8
12 Sep 2025,,Houston Astros,Atlanta Braves,+114,-135,11,3
12 Sep 2025,,New York Yankees,Boston Red Sox,-120,+100,4,1
12 Sep 2025,,Chicago White Sox,Cleveland Guardians,+118,-139,0,4
12 Sep 2025,,Detroit Tigers,Miami Marlins,-200,+165,2,8
12 Sep 2025,,Texas Rangers,New York Mets,-105,-115,8,3
12 Sep 2025,,Baltimore Orioles,Toronto Blue Jays,+114,-135,1,6
12 Sep 2025,,Kansas City Royals,Philadelphia Phillies,+118,-139,2,8
12 Sep 2025,,Pittsburgh Pirates,Washington Nationals,-110,-110,5,6
12 Sep 2025,,Tampa Bay Rays,Chicago Cubs,+135,-164,4,6
11 Sep 2025,,Colorado Rockies,San Diego Padres,+220,-278,0,2
11 Sep 2025,,Los Angeles Angels,Seattle Mariners,+140,-169,6,7
11 Sep 2025,,Kansas City Royals,Cleveland Guardians,+118,-139,2,3
11 Sep 2025,,New York Mets,Philadelphia Phillies,+100,-120,4,6
11 Sep 2025,,Detroit Tigers,New York Yankees,+140,-169,3,9
11 Sep 2025,,Washington Nationals,Miami Marlins,+110,-130,0,5
11 Sep 2025,,Houston Astros,Toronto Blue Jays,+140,-167,0,6
11 Sep 2025,,Tampa Bay Rays,Chicago White Sox,-130,+110,1,5
11 Sep 2025,,Pittsburgh Pirates,Baltimore Orioles,+100,-120,2,3
10 Sep 2025,,Colorado Rockies,Los Angeles Dodgers,+275,-345,0,9
10 Sep 2025,,St.Louis Cardinals,Seattle Mariners,+185,-227,2,4
10 Sep 2025,,Cincinnati Reds,San Diego Padres,+125,-149,2,1
10 Sep 2025,,Tampa Bay Rays,Chicago White Sox,-130,+110,5,6
10 Sep 2025,,Chicago Cubs,Atlanta Braves,+145,-175,3,2
10 Sep 2025,,Houston Astros,Toronto Blue Jays,+129,-154,3,2
10 Sep 2025,,Detroit Tigers,New York Yankees,+145,-175,11,1
10 Sep 2025,,New York Mets,Philadelphia Phillies,+140,-169,3,11
10 Sep 2025,,Kansas City Royals,Cleveland Guardians,-110,-110,4,3
10 Sep 2025,,Washington Nationals,Miami Marlins,+125,-149,3,8
10 Sep 2025,,Pittsburgh Pirates,Baltimore Orioles,-161,+135,1,2
10 Sep 2025,,Minnesota Twins,Los Angeles Angels,+100,-120,3,4
10 Sep 2025,,Arizona Diamondbacks,San Francisco Giants,+104,-125,5,3
10 Sep 2025,,Boston Red Sox,Athletics,-120,+100,4,5
10 Sep 2025,,Milwaukee Brewers,Texas Rangers,-125,+104,3,6
09 Sep 2025,,Colorado Rockies,Los Angeles Dodgers,+260,-333,2,7
09 Sep 2025,,Boston Red Sox,Athletics,-105,-115,6,0
09 Sep 2025,,Arizona Diamondbacks,San Francisco Giants,+118,-143,3,5
09 Sep 2025,,Cincinnati Reds,San Diego Padres,+154,-189,4,2
09 Sep 2025,,St.Louis Cardinals,Seattle Mariners,+170,-208,3,5
09 Sep 2025,,Minnesota Twins,Los Angeles Angels,-120,+100,2,12
09 Sep 2025,,Milwaukee Brewers,Texas Rangers,-105,-115,4,5
09 Sep 2025,,Tampa Bay Rays,Chicago White Sox,-137,+114,5,4
09 Sep 2025,,Chicago Cubs,Atlanta Braves,-115,-105,6,1
09 Sep 2025,,Houston Astros,Toronto Blue Jays,+125,-149,3,4
09 Sep 2025,,Detroit Tigers,New York Yankees,+129,-154,12,2
09 Sep 2025,,New York Mets,Philadelphia Phillies,+114,-137,3,9
09 Sep 2025,,Kansas City Royals,Cleveland Guardians,-105,-115,0,2
09 Sep 2025,,Washington Nationals,Miami Marlins,+104,-125,7,5
09 Sep 2025,,Pittsburgh Pirates,Baltimore Orioles,+125,-149,2,3
08 Sep 2025,,Colorado Rockies,Los Angeles Dodgers,+300,-385,1,3
08 Sep 2025,,Boston Red Sox,Athletics,-167,+140,7,0
08 Sep 2025,,Arizona Diamondbacks,San Francisco Giants,+154,-189,5,11
08 Sep 2025,,Cincinnati Reds,San Diego Padres,+120,-141,3,4
08 Sep 2025,,St.Louis Cardinals,Seattle Mariners,+200,-250,2,4
08 Sep 2025,,Minnesota Twins,Los Angeles Angels,+100,-120,12,3
08 Sep 2025,,Milwaukee Brewers,Texas Rangers,-125,+104,0,5
08 Sep 2025,,Chicago Cubs,Atlanta Braves,-115,-105,1,4
08 Sep 2025,,New York Mets,Philadelphia Phillies,-130,+110,0,1
08 Sep 2025,,Kansas City Royals,Cleveland Guardians,-110,-110,2,10
08 Sep 2025,,Washington Nationals,Miami Marlins,+104,-125,15,7
07 Sep 2025,,Boston Red Sox,Arizona Diamondbacks,-110,-110,7,4
07 Sep 2025,,Athletics,Los Angeles Angels,-110,-110,3,4
07 Sep 2025,,San Diego Padres,Colorado Rockies,-250,+200,8,1
07 Sep 2025,,Houston Astros,Texas Rangers,-133,+114,2,4
07 Sep 2025,,Washington Nationals,Chicago Cubs,+154,-189,6,3
07 Sep 2025,,San Francisco Giants,St.Louis Cardinals,+110,-130,3,4
07 Sep 2025,,Minnesota Twins,Kansas City Royals,+104,-125,5,1
07 Sep 2025,,Chicago White Sox,Detroit Tigers,+150,-182,6,4
07 Sep 2025,,New York Mets,Cincinnati Reds,+100,-120,2,3
07 Sep 2025,,Philadelphia Phillies,Miami Marlins,-143,+120,4,5
07 Sep 2025,,Los Angeles Dodgers,Baltimore Orioles,-149,+125,5,2
07 Sep 2025,,Milwaukee Brewers,Pittsburgh Pirates,-130,+110,10,2
07 Sep 2025,,Toronto Blue Jays,New York Yankees,+145,-175,3,4
07 Sep 2025,,Cleveland Guardians,Tampa Bay Rays,+135,-161,2,1
07 Sep 2025,,Seattle Mariners,Atlanta Braves,-115,-105,18,2
06 Sep 2025,,Athletics,Los Angeles Angels,+104,-125,17,4
06 Sep 2025,,Boston Red Sox,Arizona Diamondbacks,-120,+100,1,5
06 Sep 2025,,San Diego Padres,Colorado Rockies,-200,+165,10,8
06 Sep 2025,,Seattle Mariners,Atlanta Braves,+104,-125,10,2
06 Sep 2025,,Houston Astros,Texas Rangers,+100,-120,11,0
06 Sep 2025,,Minnesota Twins,Kansas City Royals,-125,+104,2,11
06 Sep 2025,,San Francisco Giants,St.Louis Cardinals,-130,+110,2,3
06 Sep 2025,,Los Angeles Dodgers,Baltimore Orioles,-139,+118,3,4
06 Sep 2025,,Cleveland Guardians,Tampa Bay Rays,+118,-139,3,2
06 Sep 2025,,New York Mets,Cincinnati Reds,-139,+118,3,6
06 Sep 2025,,Milwaukee Brewers,Pittsburgh Pirates,-143,+120,4,1
06 Sep 2025,,Chicago White Sox,Detroit Tigers,+240,-303,0,6
06 Sep 2025,,Philadelphia Phillies,Miami Marlins,-156,+129,4,2
06 Sep 2025,,Washington Nationals,Chicago Cubs,+220,-278,2,1
06 Sep 2025,,Toronto Blue Jays,New York Yankees,+114,-139,1,3
05 Sep 2025,,Boston Red Sox,Arizona Diamondbacks,-130,+110,5,10
